({'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}, 0.6313727910020922)
({'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}, 0.6313727910020922)
({'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}, 0.594070783875201)
({'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}, 0.6205010378135059)
({'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}, 0.6219221732556371)
({'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}, 0.6224950707503116)
({'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}, 0.6138047933893465)
({'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}, 0.6148935628131624)
({'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'uniform'}, 0.5903693478766324)
({'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}, 0.6102857001742578)
({'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}, 0.5899828570235263)
({'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}, 0.5920724433259408)
({'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}, 0.5791753005705679)
({'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'distance'}, 0.5818307811750014)
({'metric': 'euclidean', 'n_neighbors': 34, 'weights': 'uniform'}, 0.5588592584663296)
({'metric': 'euclidean', 'n_neighbors': 34, 'weights': 'distance'}, 0.5680760539611363)
({'metric': 'euclidean', 'n_neighbors': 55, 'weights': 'uniform'}, 0.5494336074637042)
({'metric': 'euclidean', 'n_neighbors': 55, 'weights': 'distance'}, 0.5543511181721736)
({'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}, 0.6298721038946953)
({'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}, 0.6298721038946953)
({'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}, 0.594182971199908)
({'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}, 0.6160462092009255)
({'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}, 0.6182074254402187)
({'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}, 0.6191139534296969)
({'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}, 0.6101531855156855)
({'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}, 0.6114471953366707)
({'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'uniform'}, 0.5899146573292258)
({'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}, 0.605591123655927)
({'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'uniform'}, 0.5956057190885098)
({'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}, 0.5983367209402937)
({'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'uniform'}, 0.5815735063407281)
({'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'distance'}, 0.5851529112488715)
({'metric': 'manhattan', 'n_neighbors': 34, 'weights': 'uniform'}, 0.5628501487084956)
({'metric': 'manhattan', 'n_neighbors': 34, 'weights': 'distance'}, 0.571276804652998)
({'metric': 'manhattan', 'n_neighbors': 55, 'weights': 'uniform'}, 0.5488060063874791)
({'metric': 'manhattan', 'n_neighbors': 55, 'weights': 'distance'}, 0.5553018310419906)
({'metric': 'cosine', 'n_neighbors': 1, 'weights': 'uniform'}, 0.623755476549661)
({'metric': 'cosine', 'n_neighbors': 1, 'weights': 'distance'}, 0.623755476549661)
({'metric': 'cosine', 'n_neighbors': 2, 'weights': 'uniform'}, 0.603046934949172)
({'metric': 'cosine', 'n_neighbors': 2, 'weights': 'distance'}, 0.6243788419703807)
({'metric': 'cosine', 'n_neighbors': 3, 'weights': 'uniform'}, 0.6271939521544814)
({'metric': 'cosine', 'n_neighbors': 3, 'weights': 'distance'}, 0.6280274614084072)
({'metric': 'cosine', 'n_neighbors': 5, 'weights': 'uniform'}, 0.625499875798129)
({'metric': 'cosine', 'n_neighbors': 5, 'weights': 'distance'}, 0.6256422342427549)
({'metric': 'cosine', 'n_neighbors': 8, 'weights': 'uniform'}, 0.5980854460721655)
({'metric': 'cosine', 'n_neighbors': 8, 'weights': 'distance'}, 0.6211846946012022)
({'metric': 'cosine', 'n_neighbors': 13, 'weights': 'uniform'}, 0.6012833432092901)
({'metric': 'cosine', 'n_neighbors': 13, 'weights': 'distance'}, 0.602374994122861)
({'metric': 'cosine', 'n_neighbors': 21, 'weights': 'uniform'}, 0.5877004386890746)
({'metric': 'cosine', 'n_neighbors': 21, 'weights': 'distance'}, 0.5897737443045459)
({'metric': 'cosine', 'n_neighbors': 34, 'weights': 'uniform'}, 0.5657526179300492)
({'metric': 'cosine', 'n_neighbors': 34, 'weights': 'distance'}, 0.5753492201418341)
({'metric': 'cosine', 'n_neighbors': 55, 'weights': 'uniform'}, 0.5576012936919584)
({'metric': 'cosine', 'n_neighbors': 55, 'weights': 'distance'}, 0.5608303887130685)
({'metric': 'haversine', 'n_neighbors': 1, 'weights': 'uniform'}, nan)
({'metric': 'haversine', 'n_neighbors': 1, 'weights': 'distance'}, nan)
({'metric': 'haversine', 'n_neighbors': 2, 'weights': 'uniform'}, nan)
({'metric': 'haversine', 'n_neighbors': 2, 'weights': 'distance'}, nan)
({'metric': 'haversine', 'n_neighbors': 3, 'weights': 'uniform'}, nan)
({'metric': 'haversine', 'n_neighbors': 3, 'weights': 'distance'}, nan)
({'metric': 'haversine', 'n_neighbors': 5, 'weights': 'uniform'}, nan)
({'metric': 'haversine', 'n_neighbors': 5, 'weights': 'distance'}, nan)
({'metric': 'haversine', 'n_neighbors': 8, 'weights': 'uniform'}, nan)
({'metric': 'haversine', 'n_neighbors': 8, 'weights': 'distance'}, nan)
({'metric': 'haversine', 'n_neighbors': 13, 'weights': 'uniform'}, nan)
({'metric': 'haversine', 'n_neighbors': 13, 'weights': 'distance'}, nan)
({'metric': 'haversine', 'n_neighbors': 21, 'weights': 'uniform'}, nan)
({'metric': 'haversine', 'n_neighbors': 21, 'weights': 'distance'}, nan)
({'metric': 'haversine', 'n_neighbors': 34, 'weights': 'uniform'}, nan)
({'metric': 'haversine', 'n_neighbors': 34, 'weights': 'distance'}, nan)
({'metric': 'haversine', 'n_neighbors': 55, 'weights': 'uniform'}, nan)
({'metric': 'haversine', 'n_neighbors': 55, 'weights': 'distance'}, nan)
({'metric': 'minkowski', 'n_neighbors': 1, 'weights': 'uniform'}, 0.6313727910020922)
